"Country_Region","Last_Update","Confirmed","Deaths","Recovered","Active","Delta_Confirmed","Delta_Recovered","Incident_Rate","People_Tested","People_Hospitalized","Province_State","FIPS","UID","iso3","Report_Date_String","Deaths_suffix"
"Afghanistan","1/22/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/22",
"Afghanistan","1/23/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/23",
"Afghanistan","1/24/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/24",
"Afghanistan","1/25/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/25",
"Afghanistan","1/26/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/26",
"Afghanistan","1/27/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/27",
"Afghanistan","1/28/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/28",
"Afghanistan","1/29/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/29",
"Afghanistan","1/30/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/30",
"Afghanistan","1/31/20",0,0,,,0,,0,,,,,4,"AFG","2020/01/31",
"Afghanistan","2/1/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/01",
"Afghanistan","2/2/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/02",
"Afghanistan","2/3/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/03",
"Afghanistan","2/4/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/04",
"Afghanistan","2/5/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/05",
"Afghanistan","2/6/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/06",
"Afghanistan","2/7/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/07",
"Afghanistan","2/8/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/08",
"Afghanistan","2/9/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/09",
"Afghanistan","2/10/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/10",
"Afghanistan","2/11/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/11",
"Afghanistan","2/12/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/12",
"Afghanistan","2/13/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/13",
"Afghanistan","2/14/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/14",
"Afghanistan","2/15/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/15",
"Afghanistan","2/16/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/16",
"Afghanistan","2/17/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/17",
"Afghanistan","2/18/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/18",
"Afghanistan","2/19/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/19",
"Afghanistan","2/20/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/20",
"Afghanistan","2/21/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/21",
"Afghanistan","2/22/20",0,0,,,0,,0,,,,,4,"AFG","2020/02/22",
