country_or_region,province_or_state,state_and_country,date,daily_new_cases,running_total_cases,running_total_cases_prev_day,daily_new_deaths,running_total_deaths,running_total_deaths_prev_day,data_source,lat,long,first_case_state_rank,first_case_country_rank,hundred_case_state_rank,hundred_case_country_rank,country_code_2,country_code_3,country_population_2018,country_median_age,country_running_agg,location,country_or_region_day_number,province_or_state_day_number,state_and_country_day_number,country_code_2_day_number,country_code_3_day_number
Turkey,Not Provided,Not Provided-Turkey,2020-03-11,1.0,1,0.0,0.0,0,0.0,JHU,38.9637,35.2433,,,,,TR,TUR,82319724.0,30.9,1,"38.9637,35.2433",1,1884,1,1,1
Turkey,Not Provided,Not Provided-Turkey,2020-03-12,0.0,1,1.0,0.0,0,0.0,JHU,38.9637,35.2433,,,,,TR,TUR,82319724.0,30.9,1,"38.9637,35.2433",2,2021,2,2,2
Turkey,Not Provided,Not Provided-Turkey,2020-03-13,4.0,5,1.0,0.0,0,0.0,JHU,38.9637,35.2433,1.0,1.0,,,TR,TUR,82319724.0,30.9,5,"38.9637,35.2433",3,2078,3,3,3
Turkey,Not Provided,Not Provided-Turkey,2020-03-14,0.0,5,5.0,0.0,0,0.0,JHU,38.9637,35.2433,2.0,2.0,,,TR,TUR,82319724.0,30.9,5,"38.9637,35.2433",4,2196,4,4,4
Turkey,Not Provided,Not Provided-Turkey,2020-03-15,1.0,6,5.0,0.0,0,0.0,JHU,38.9637,35.2433,3.0,3.0,,,TR,TUR,82319724.0,30.9,6,"38.9637,35.2433",5,2309,5,5,5
Turkey,Not Provided,Not Provided-Turkey,2020-03-16,12.0,18,6.0,0.0,0,0.0,JHU,38.9637,35.2433,4.0,4.0,,,TR,TUR,82319724.0,30.9,18,"38.9637,35.2433",6,2422,6,6,6
Turkey,Not Provided,Not Provided-Turkey,2020-03-17,29.0,47,18.0,1.0,1,0.0,JHU,38.9637,35.2433,5.0,5.0,,,TR,TUR,82319724.0,30.9,47,"38.9637,35.2433",7,2659,7,7,7
Turkey,Not Provided,Not Provided-Turkey,2020-03-18,51.0,98,47.0,0.0,1,1.0,JHU,38.9637,35.2433,6.0,6.0,,,TR,TUR,82319724.0,30.9,98,"38.9637,35.2433",8,2829,8,8,8
Turkey,Not Provided,Not Provided-Turkey,2020-03-19,94.0,192,98.0,2.0,3,1.0,JHU,38.9637,35.2433,7.0,7.0,1.0,1.0,TR,TUR,82319724.0,30.9,192,"38.9637,35.2433",9,2849,9,9,9
Turkey,Not Provided,Not Provided-Turkey,2020-03-20,167.0,359,192.0,1.0,4,3.0,JHU,38.9637,35.2433,8.0,8.0,2.0,2.0,TR,TUR,82319724.0,30.9,359,"38.9637,35.2433",10,2998,10,10,10
Turkey,Not Provided,Not Provided-Turkey,2020-03-21,311.0,670,359.0,5.0,9,4.0,JHU,38.9637,35.2433,9.0,9.0,3.0,3.0,TR,TUR,82319724.0,30.9,670,"38.9637,35.2433",11,3195,11,11,11
Turkey,Not Provided,Not Provided-Turkey,2020-03-22,566.0,1236,670.0,21.0,30,9.0,JHU,38.9637,35.2433,10.0,10.0,4.0,4.0,TR,TUR,82319724.0,30.9,1236,"38.9637,35.2433",12,3378,12,12,12
